runNo,evtNo,nJets,nLeptons,nBJets,category,mva,jetPt,jetEta,jetPhi,jetMass,jetMassSoftDrop,jetTau1,jetTau2,jetTau3,triggerBit
274241,5611815,2,0,0,0,0.241398,[ 494.7722168   430.48065186],[ 0.97346669  1.22660971],[ 1.45735085 -1.7342602 ],[ 142.61248779  142.74533081],[ 113.68502808  115.58599091],[ 0.27148822  0.30494133],[ 0.14182131  0.17494132],[ 0.12817642  0.11744408],[ True  True  True False False False False False False False]
274241,6605216,2,0,0,0,0.239539,[ 342.68310547  302.41815186],[ 0.08203271 -0.90111357],[ 0.07485465 -2.82982612],[ 109.1964035    84.64885712],[ 104.13754272   76.77587891],[ 0.23076954  0.20532537],[ 0.13015278  0.11462323],[ 0.09274684  0.08951103],[False  True False False False False False False False False]
274241,6174201,2,0,1,0,0.247878,[ 450.12442017  309.9614563 ],[ 0.70217973  1.70169866],[-1.11065125  1.97822368],[ 132.59841919  125.04386139],[ 115.42478943  118.77436829],[ 0.22484809  0.35495317],[ 0.10729565  0.22367947],[ 0.08810884  0.17700072],[ True False False False False False False False False False]
274241,5498404,2,0,0,0,0.160554,[ 331.87191772  308.30541992],[-2.38589954  0.23578237],[ 1.11322594 -1.99270141],[  86.23891449  122.75876617],[  57.54917145  124.57137299],[ 0.17646299  0.31158522],[ 0.1097967   0.14407532],[ 0.08771339  0.12388314],[False  True False False False False False False False False]
274241,5745915,2,0,0,0,0.590446,[ 434.14526367  281.23400879],[-0.0529481 -1.0779382],[-2.34551096  0.47588605],[ 147.91497803   74.51078796],[ 145.342453     57.07571793],[ 0.30696377  0.21457522],[ 0.15265694  0.15221877],[ 0.08157091  0.12220036],[ True False False False False False False False False False]
274241,5311199,2,0,1,1,0.647472,[ 490.17700195  391.02627563],[-0.06107063 -0.0652819 ],[-2.98575926  0.0622976 ],[ 135.90846252  181.03627014],[ 126.2098465   173.32861328],[ 0.31662938  0.47772387],[ 0.12498554  0.2923831 ],[ 0.09748536  0.20261733],[ True  True  True False False False False False False False]
274241,6208129,2,0,0,0,0.157519,[ 313.25857544  298.72839355],[ 1.21897292 -0.1096653 ],[ 1.56085885 -1.41222191],[ 107.90143585   88.14310455],[ 101.98162079   60.81763077],[ 0.23501147  0.25442144],[ 0.10091709  0.14465892],[ 0.09132131  0.12401105],[False  True False False False False False False False False]
274241,5435992,2,0,1,1,0.0684633,[ 473.32147217  458.20675659],[-1.48066926 -2.18809271],[ 1.10219944 -2.0585041 ],[ 122.90831757  117.56990814],[ 108.78427887  105.85456848],[ 0.23962109  0.21284705],[ 0.17407374  0.13199925],[ 0.13599294  0.10760965],[ True  True  True  True False False False False False False]
274241,6155225,2,0,1,1,0.450037,[ 385.01318359  261.0010376 ],[-0.13743788  1.91839492],[ 1.30638814 -1.81363368],[ 126.36022949   68.40380859],[ 120.99433899   53.3013649 ],[ 0.32372823  0.2721681 ],[ 0.15113625  0.10513493],[ 0.10723778  0.09741633],[False  True  True False False False False False False False]
274241,6004819,2,0,0,0,0.314092,[ 423.2505188   380.99252319],[-1.25561154 -2.01847863],[ 2.48215795 -0.56144673],[ 132.53018188  115.49967957],[ 120.90724945  109.55770874],[ 0.25168461  0.20993079],[ 0.11860931  0.13242158],[ 0.09637441  0.08203387],[False  True  True False False False False False False False]
274241,5235903,2,0,0,0,0.341238,[ 441.74224854  306.49707031],[ 0.45077482 -1.20237577],[-0.84506828  2.43561411],[ 146.73480225  116.50029755],[ 139.7913208   106.58539581],[ 0.37737605  0.39186332],[ 0.11854149  0.18599766],[ 0.09761942  0.15914917],[False  True  True False False False False False False False]
274241,7051499,2,0,0,0,0.399396,[ 345.28613281  326.80987549],[ 0.08023367 -1.84774888],[-0.08304898  2.98899531],[ 100.21552277  117.836586  ],[  99.8285675  105.9846344],[ 0.17533271  0.35029495],[ 0.09889697  0.15555544],[ 0.07980418  0.11066502],[False  True  True False False False False False False False]
274241,6081072,2,0,0,1,0.54297,[ 500.56906128  455.92752075],[-0.57020271 -0.51921374],[ 0.14507094 -2.58447051],[ 165.00442505  136.89755249],[ 156.03013611  130.418396  ],[ 0.25489607  0.18398909],[ 0.10472082  0.07244263],[ 0.08913454  0.05046561],[ True  True  True False False False False False False False]
274241,5453735,2,0,1,0,0.115644,[ 331.74716187  308.0788269 ],[-2.21570039 -0.54104322],[ 1.35217965 -1.68021929],[ 103.50871277   80.63299561],[ 97.14217377  67.27155304],[ 0.23068565  0.17849489],[ 0.15543433  0.08667341],[ 0.12887503  0.07250381],[False  True False  True False False False False False False]
274241,5611609,2,0,0,0,0.980851,[ 809.03637695  758.43981934],[ 0.60407573 -0.51849926],[ 2.83855176 -0.24614424],[ 399.590271    301.02944946],[ 380.44717407  288.09259033],[ 0.56489772  0.38255867],[ 0.29555354  0.06223435],[ 0.09675541  0.05104396],[ True  True  True False False False False False False False]
